Date,ER,DD,dflows,LER,dLER,dPoil,dDate,match,dflows2
10-01-13,30.4215,0.181929129,-0.000102886,3.415149595,0.160541665,2.028032163,5,4590,-0.000102886
15-01-13,30.2607,0.180796096,0.001013325,3.409849841,-0.529975434,-1.559815929,7,4597,0.001013325
20-01-13,30.2065,0.180429978,-0.007027865,3.408057133,-0.179270793,-0.278864931,4,4601,-0.007027865
25-01-13,30.1648,0.181241388,0.008296319,3.406675682,-0.138145134,3.174025309,5,4606,0.008296319
01-02-13,30.0161,0.173393782,-0.003093995,3.401733904,-0.49417773,0.834279628,5,4611,-0.003093995
05-02-13,29.9251,0.181153858,-0.000526568,3.398697593,-0.303631125,0.440396204,5,4616,-0.000526568
10-02-13,30.1575,0.179235409,-0.000284256,3.406433648,0.773605533,0.951857292,5,4621,-0.000284256
15-02-13,30.0773,0.178320608,-0.000738624,3.403770734,-0.266291404,1.111829828,4,4625,-0.000738624
20-02-13,30.1277,0.178281927,-0.007043289,3.405445014,0.167427994,-1.222841325,4,4629,-0.007043289
25-02-13,30.3596,0.178670581,0.006232644,3.413112777,0.766776286,-2.860061483,5,4634,0.006232644
01-03-13,30.5124,0.172309848,-0.001493053,3.418133158,0.502038116,-1.363214879,5,4639,-0.001493053
05-03-13,30.787,0.179753356,-0.000235342,3.427092523,0.895936459,-2.071213168,5,4644,-0.000235342
10-03-13,30.7628,0.178165629,0.002882632,3.426306168,-0.078635515,0.472041545,5,4649,0.002882632
15-03-13,30.7769,0.177997481,-0.000696425,3.426764409,0.045824079,-2.123455221,7,4656,-0.000696425
20-03-13,30.8285,0.181112791,-0.006831203,3.428439587,0.167517822,-1.106936562,4,4660,-0.006831203
25-03-13,30.9325,0.180917242,0.005871537,3.431807411,0.33678243,-0.374848157,5,4665,0.005871537
01-04-13,31.0834,0.174762653,0.002808271,3.436673915,0.486650352,1.814256396,5,4670,0.002808271
05-04-13,31.7203,0.183496335,-0.003136816,3.456956854,2.028293985,-3.156431554,5,4675,-0.003136816
10-04-13,31.2086,0.183883882,0.000105518,3.440693698,-1.626315662,-0.965729167,5,4680,0.000105518
15-04-13,30.9308,0.179434117,0.000343827,3.431752451,-0.894124664,-3.420640346,6,4686,0.000343827
20-04-13,31.4605,0.182052896,-0.006899884,3.448732791,1.698033948,-3.130620199,4,4690,-0.006899884
25-04-13,31.5917,0.183024285,0.008993396,3.452894428,0.416163716,3.25978709,5,4695,0.008993396
01-05-13,31.0433,0.173608649,-0.003427435,3.435383004,-1.751142377,0.810922165,5,4700,-0.003427435
05-05-13,31.0433,0.182673728,5.00912E-05,3.435383004,0,-1.198924443,5,4705,5.00912E-05
10-05-13,31.0829,0.179490124,-0.002350146,3.436657829,0.127482464,3.207572319,5,4710,-0.002350146
15-05-13,31.2778,0.180466579,0.001238947,3.442908581,0.625075198,-0.862868314,7,4717,0.001238947
20-05-13,31.3931,0.178664062,-0.007354359,3.446588124,0.367954282,1.094282938,4,4721,-0.007354359
25-05-13,31.3164,0.17954587,0.007765097,3.444141922,-0.244620156,-3.299530799,5,4726,0.007765097
01-06-13,31.7979,0.174434849,-0.001987757,3.45940025,1.525832788,1.315222914,5,4731,-0.001987757
05-06-13,31.8344,0.182279583,0.000665694,3.460547466,0.114721624,0.245302581,5,4736,0.000665694
10-06-13,32.2397,0.182190354,-0.002622747,3.473198612,1.265114627,1.969885638,5,4741,-0.002622747
15-06-13,31.8029,0.180853726,-0.000218637,3.459557481,-1.364113179,-0.665222988,6,4747,-0.000218637
20-06-13,32.1201,0.179700758,-0.005884618,3.469482002,0.99245218,2.086799187,4,4751,-0.005884618
25-06-13,32.9097,0.183096796,0.00566871,3.493767447,2.428544474,-5.611132832,5,4756,0.00566871
01-07-13,32.709,0.176281215,0.000211611,3.487650269,-0.611717775,2.659704953,5,4761,0.000211611
05-07-13,33.1605,0.183868113,-0.00093688,3.501359409,1.370913917,3.480529643,5,4766,-0.00093688
10-07-13,33.0842,0.183734702,0.000523209,3.499055827,-0.230358153,1.663434299,5,4771,0.000523209
15-07-13,32.6429,0.180815883,0.001441003,3.485627374,-1.342845284,1.041820145,7,4778,0.001441003
20-07-13,32.4288,0.180366209,-0.005038975,3.479046917,-0.658045733,0.621744711,4,4782,-0.005038975
25-07-13,32.3462,0.181433388,0.005425206,3.476496549,-0.255036804,-1.358192852,5,4787,0.005425206
01-08-13,33.033,0.179539368,0.000252665,3.497507062,2.101051298,-0.314640274,5,4792,0.000252665
05-08-13,33.0978,0.185173943,-0.000426452,3.499466815,0.195975312,1.599887012,5,4797,-0.000426452
10-08-13,32.8606,0.184348891,0.00109651,3.492274372,-0.719244319,-2.129603413,5,4802,0.00109651
15-08-13,33.1583,0.185284597,0.000806938,3.501293062,0.901869064,2.70261876,7,4809,0.000806938
20-08-13,32.9226,0.185308061,-0.005705132,3.494159352,-0.713371033,1.037587691,4,4813,-0.005705132
25-08-13,33.0552,0.186724751,0.005846171,3.498178891,0.401953926,-0.811107547,5,4818,0.005846171
01-09-13,33.2474,0.181861154,0.000242621,3.503976569,0.579767727,5.629839342,5,4823,0.000242621
05-09-13,33.4656,0.188636928,-0.001586177,3.510518046,0.654147702,-1.083601934,5,4828,-0.001586177
10-09-13,33.3243,0.188234597,0.005266272,3.506286861,-0.423118498,-0.389864042,5,4833,0.005266272
15-09-13,32.7406,0.184003881,-5.81101E-05,3.488615898,-1.767096261,-1.830895172,6,4839,-5.81101E-05
20-09-13,31.5892,0.183989774,-0.006687193,3.45281529,-3.580060796,-2.189835907,4,4843,-0.006687193
25-09-13,31.8167,0.185017789,0.005076796,3.459991309,0.717601915,-2.729857157,5,4848,0.005076796
01-10-13,32.4839,0.181479304,0.000715134,3.480744582,2.07532728,0.157750694,5,4853,0.000715134
05-10-13,32.1005,0.184763802,-0.002317759,3.468871606,-1.187297564,1.509184805,5,4858,-0.002317759
10-10-13,32.3619,0.186714323,0.001118794,3.476981805,0.811019859,-0.430186925,5,4863,0.001118794
15-10-13,32.2663,0.183965089,0.002676009,3.474023342,-0.295846302,1.013013454,7,4870,0.002676009
20-10-13,31.846,0.183134881,-0.005327659,3.460911785,-1.311155648,-0.528042014,4,4874,-0.005327659
