cr_gdp,dy,cr,fd0,fd1,fd2
102.8,0.47803,0,0.57624,0.83341,0.39933
103.6,0.079087,0,0.58693,0.83741,0.45142
105,-0.30293,0,0.59762,0.8414,0.50352
104.2,-0.23977,0,0.60831,0.8454,0.55561
105,0.56893,0,0.60591,0.84315,0.60437
104.6,1.0144,0,0.60351,0.84089,0.65314
105.4,0.70024,0,0.6011,0.83864,0.7019
103.6,0.321,0,0.5987,0.83639,0.75066
104.6,0.17208,0,0.59518,0.83494,0.71271
104.1,0.90266,0,0.59166,0.83348,0.67476
105,1.341,0,0.58814,0.83202,0.63681
102.6,0.8327,0,0.58463,0.83057,0.59886
103.3,0.42315,0,0.58815,0.82949,0.59648
103.6,0.22656,0,0.59168,0.82841,0.59411
106.5,0.34418,0,0.59521,0.82733,0.59173
103.7,0.67971,0,0.59874,0.82625,0.58936
106.8,0.77219,0,0.60154,0.82951,0.64222
108.8,0.33378,0,0.60435,0.83276,0.69509
109.1,0.44242,0,0.60715,0.83602,0.74796
108.2,0.33148,0,0.60996,0.83928,0.80082
111.8,0.3663,0,0.61153,0.84015,0.78213
113.6,1.322,0,0.61311,0.84101,0.76343
114,1.1968,0,0.61469,0.84188,0.74473
111,0.83499,0,0.61627,0.84275,0.72603
112.4,1.052,0,0.62553,0.84758,0.73723
112.9,0.27873,0,0.6348,0.8524,0.74843
114.6,0.23825,0,0.64407,0.85723,0.75963
113.8,1.1159,0,0.65334,0.86206,0.77083
115,0.97644,0,0.65644,0.86269,0.79817
118.6,1.3393,0,0.65954,0.86332,0.82551
121.2,0.85235,0,0.66264,0.86395,0.85285
120.9,1.0722,0,0.66574,0.86458,0.88019
123.6,0.71996,0,0.66163,0.85927,0.85134
129.2,0.58392,0,0.65752,0.85396,0.82249
127.9,1.0437,0,0.65341,0.84865,0.79364
126.6,-0.11797,0,0.6493,0.84335,0.76479
126.6,-0.15539,0,0.64512,0.8447,0.78309
127.6,0.18018,0,0.64093,0.84605,0.80139
129.6,0.21331,0,0.63675,0.84741,0.81969
128.8,0.78815,0,0.63256,0.84876,0.83799
129.2,0.35546,0,0.63625,0.84637,0.86705
129.3,0.30653,0,0.63994,0.84398,0.89611
129.4,0.22552,0,0.64364,0.84158,0.92517
128.6,0.20805,0,0.64733,0.83919,0.95423
128.9,0.15344,0,0.64944,0.84096,0.96567
129,0.43327,0,0.65156,0.84273,0.97711
